question,question_en,id,node_name
السلام عليكم,Hello ,1,welcome message
سلام,Hi there,1,
اهلا,Salam,1,
هلا,Hi,1,
سلامات,,1,
السلام عليكم ورحمة الله,,1,
اهلين,,1,
مرحبا,,1,
مرحب,,1,
ازيكم,,1,
يا عالم,,1,
يا ناس,,1,
الوووو,,1,
هوي ها,,1,
هاي,,1,
تحياتي,,1,
يا عالم,,1,
يا ناس بنك الاهلى,,1,
السلام عليكم ورحمة الله وبركاتة,,1,
رمضان مبارك عليكم,,1,
مساء السعاده عليكم,,1,
مرحبا,,1,
الو,,1,
مساء الخير,,1,
الساده البنك الأهلي السوداني,,1,
صبأح ألورود,,1,
,,,
,,,
,,,
,,,
عندي مشكلة,I have a problem,2,complaint
,I have a connection issues,2,
القرف ده ماله,whats wrong with the netwrok,2,
خدماتكم ذي الذفت,,2,
خدماتكم ذي وشكم,,2,
حريقه في خدماتكم,,2,
حريقه تحرقكم,,2,
خدماتكم دي قرف,,2,
ياخي انتو قرف,,2,
حريقه فيكم,,2,
ندمتو الواحد انو اشتغل معاكم ,,2,
قرف يقرفكم ياخ,,2,
قروشكم كتيره و خدماتكم كعبه,,2,
ما ممكن معاكم كده والله,,2,
الله بحاسبكم,,2,
انتو ما بتخافوا ربنا و لا شنو,,2,
ياخي ما تجضموا شغلكم باخ,,2,
اسواء خدمه عملاء ممكن تقابلك,,2,
انتو بتدفعونا قروش على اي اساس,,2,
انتو بتشيلوا مني قروش لي مثلا,,2,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
ممكن الرقم,,3,Phone number + number not working
داير تلفوناتكم,What is your phone number?,3,
كم رقم البنك الأهلي السوداني,Phone number or hot line?,3,
ما رقم هاتفك؟,,3,
رقم تلفونكم كم,,3,
رقم الجوال,,3,
ما رقم هاتفك؟,,3,
ممكن لو سمحت تديني رقم للبنك,,3,
ممكن رقم خدمة العملاء؟,,3,
اذا امكن أرقام للتواصل غير الرقم الثابت 83,,3,
ممكن رقم للتواصل من خارج السودان,,3,
التلفون غير مفعل,,3,
تلفونكم 6100ماشغال عندكم تلفون تانى,,3,
6100 الرقم ده ماشغال,,3,
الرقم ما شغال 🙃,,3,
الرقم مغلق,,3,
أرقامكم التي بالموقع لا تعمل,,3,
الرقم ما شغال,,3,
الرقم ما فتح معاي,,3,
ارغامكم كم؟,,3,
داير اضرب ليكم,,3,
داير اتكلم مع زول من خدمة العملا,,3,
,,3,
,,,
كم سعر الريال السعودى مقابل الجنيه السوداني؟؟,,4,exchange rate
ممكن اعرف اسعار العملات الاجنبيه,,4,
متوفر معاي ريال عايز ابيع,,4,
كم سعر الدولار اليوم,,4,
كم سعر الدولار في البنك اليوم,,4,
